"text","rating","date","image_urls","product_url","scraped_at"
"Máy thì lỗi . Chính sách đổi trả mất thời gian. Máy thì lỗi nhà sản xuất trung tâm hộ trợ đổi mới . Ra thì nhân viên kêu khi nào máy bảo hành gửi về mới cho đỗi . Đến lúc cho đổi mới . Thì mất gần cả tuần chưa có","5","2026-04-09","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.175501"
"Mua máy không có sạc đi kèm, máy chậm, chân sạc tiêp xúc với sạc kém. Khó sạc.","5","2026-04-05","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.175954"
"Bắt bluetooth rất kém, nhiều lúc không ghép đôi được thiết bị cần ghép đôi, còn lại tất cả đều ổn","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.176294"
"xứng đáng cho 10 sao,với mức giá như vậy là quá ok rồi còn có mạng 5G nữa.Tất cả đều ok","5","","https://cdnv2.tgdd.vn/webmwg/comment/99/4f/994f1ae6747d0d36533861275499dee7.jpg","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.176617"
"Làm ơn đi mua điện thoại qua online mà nhận hộp mở seal rồi còn dán băng keo nữa chứ. Dán băng keo xong tiếp tục mở nữa chứ máy thì dính toàn vân tay.","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.176947"
"Máy dùng rất tốt có 5G mượt wifi mượt thông báo load vù vù.","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.177207"
"Samsung A06 5G bản 6Gb/128Gb này rất đáng mua nhé.Mình dân công nghệ nên cố gắng đánh giá khách quan. Nhân viên TGDD nhiệt tình, hàng chất lượng.Máy dùng chính hoặc làm máy ph, mua tặng phụ huynh ông bà đều rất tốt. Nếu làm máy chính thì lấn cấn vụ NFC. Mới mua về hơi lag nên vào cài đặt cập nhật lên One UI 8, Android 16, cập nhật xong sau đó khôi phục cài đặt gốc lại xóa mấy app không cần thiết tắt + buộc dừng mấy app ít sử dụng nâng cao hơn thì dùng ADB xóa app rác cái này chuyên sâu chỉ cần tắt cũng ok rồi máy sẽ mượt và sử dụng tốt hơn. Lúc này thì sử dụng cài app cá nhân vào v.vMáy chính hãng SSVN có 5G rẻ nhất tại VN, mình mua giá khoảng 2tr83tr do app mã giảm giá TGDD ai cũng có, mua tại cửa hàng nhiều khi có mã tốt hơn.Màn hình máy ngang liền với viền không nhô lên như hãng khác là điểm cộng rất lớn tạo cảm giác cao cấp, vuốt chạm cũng thoải mái màn ngang với viền chỉ có máy cao cấp mới có, cầm người ta tưởng điện thoại đắt tiền do ngoại hình cũng rất đẹp.Máy nghe gọi lướt web dùng app rất ổn, sài được 5G ngon, Chip cũng mạnh nhất trong chính hãng tầm giá hơn G99, Wifi 5, Bluetooth 5.3, kháng nước bụi IP54. chỉ cần có NFC và màn hình mà màn lên khoảng FHD thì thôi đấm vỡ mồm các máy nội địa Trung và hãng khác.Mua ở TGDD yên tâm về bảo hành và hậu mãi. Cái hậu mãi rất quan trọng đấy nhé.","5","0784-84-07","https://cdnv2.tgdd.vn/webmwg/comment/a9/83/a983b17100f16be525620c1d4a42c75a.jpg|https://cdnv2.tgdd.vn/webmwg/comment/07/84/0784ee7638e5ce490d07e3c92d29fe53.jpg","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.177963"
"Nge lời nhan vien nói gần tết không giảm giá nửa đâu giờ mua chưa được tháng giảm hơn 300k ai chuẩn bị mua thì xem bl nhek máy lỗi 4g 5g sóng 2 vạch pin 6tieng lỏ lần này thui ko mua ở tgddong nửa giá trị máy ko cao lag đơ cái điện thoại luôn 4g tháng 130k mak còn lag đổi qua hãng điện thoại khác tốn phí 20% mặc dù do nhà sản xuất thì thui tui bỏ","5","2026-01-15","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.178343"
"Em đã mua được 4 tháng trả góp hiện tại máy bị lỗi. Mạng thì dùng được còn gọi ngoài với nghe không dùng được. Em muốn đổi máy khác","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.178653"
"Mọi người khi mua điện thoại thì mình khuyên không nên mua gói bảo hiểm/ bảo hành Samsung Care+ hoặc nên đọc thật kỹ các điều khoản trước khi quyết định mua. Mình mua điện thoại này cùng gói trên nhưng khi bị người khác tông làm rơi điện thoại, móp vỏ điện thoại thì Samsung báo không bảo hiểm/ bảo hành với lý do Hư hỏng mang tính thẩm mỹ. Ngoài ra, nội dung không được hưởng các dịch vụ trong điều khoản còn dài hơn chi tiết hơn nội dung được hưởng các dịch vụ nữa. Mua xong chỉ thấy tiếc tiền Khi mình mua, mình đã hỏi rõ và được TGDĐ tư vấn rằng sẽ bảo hiểm/ bảo hành tất cả lỗi người dùng vì mình tin tưởng nên đã không đọc kĩ các điều khoản. Mình xem như đây là bài học cho bản thân vậy, từ giờ không tin tưởng TGDĐ hoàn toàn nữa","5","2025-11-17","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.179144"
"Mình mới mua đx 2 thág mà hư dây sạc có bảo hành hok ạ","5","2025-09-21","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.819857"
"Cảm biến vân tay không mở được trên các app ngân hàng","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.820237"
"Khá ổn trong tầm giá, pin trâu.","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.820423"
"Trải nghiệm vô cùng tệ hại với chiếc điện thoại này , chỉ nghe gọi được 1 sim , còn 1 sim vinaphone k thể nghe gọi được , mặc dù đã đảo vị trí cho nhau , sóng mạng thì kết nối tồi k xem nổi video trong khi lắp các máy khác vẫn chạy ầm ầm . Mọi người suy nghĩ lại đừng mua thiết bị quá tệ hại như vậy . Chưa kể mọi thao tác đều chậm và đơ . Mai tôi sẽ đem ra trả lại và chuyển sang hãng khác .Lần đầu tiên trong đờii mua máy samsung đã có trải nghiệm quá tệ như vậy và sẽ k bao giờ có lần thứ 2","5","2025-08-21","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.820625"
"đt tốt ,đáng đồng tiền","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.820740"
"Ok, tuyệt vời, pin trâu","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.820852"
"Mình khuyên các bạn ko nên mua.mua về dùng được nửa tháng. máy bắt sóng kém kinh khung. vào nhà cái là cột sóng còn được 1 cột. ko thể dùng 3g 4g. Đem ra cửa hàng thì quản lý bảo hạng samsung bắt song nó kém sặn rồi. test ở cửa hàng sóng ok nên cái này ko pải là lỗi. ông bảo anh trước cũng dùng samsung nó bắt sóng yếu quá nên anh chuyển qua oppo rồi... rồi ông bảo cần thiết để máy đây ông gửi lên sasung kiểm tra phản hồi 15 ngày sau lấy....TỐT NHẤT LÀ KO NÊN MUA. BỎ TIỀN RA CẦM CON MÁY KO RA GÌ.","5","2025-06-13","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.821037"
"Pin 5000mAH mà tụt k phanh, cần hỗ trợ đổi","5","2025-06-08","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.821154"
"Mình cảm ơn hãng đã cho mình đổi trả sang dòng khác khác mà ko bị mất phí. Điện thoại tốt trong tầm giá.","5","","","https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb","2026-04-14T21:26:41.821290"
